year,month,period,country_code,country_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,11,1997-11-01,249,Estados Unidos,30991,20966,34038,16853,0,50891,1.098319,0.676519,1.623486,6
1997,11,1997-11-01,267,Filipinas,3840,3589,82320,4805,0,87125,21.4375,0.934635,22.936751,1
1997,11,1997-11-01,365,Indonésia,26422,24092,327059,13571,274,340904,12.378283,0.911816,13.575419,9
1997,11,1997-11-01,386,Itália,1089,1417,12570,578,0,13148,11.5427,1.301194,8.870854,3
1997,11,1997-11-01,607,Portugal,31,62,669,217,0,886,21.580645,2.0,10.790323,1
1997,11,1997-11-01,741,Singapura,1820,2700,13132,552,0,13684,7.215385,1.483516,4.863704,2
1997,11,1997-11-01,776,Tailândia,1440,1038,28320,1183,0,29503,19.666667,0.720833,27.283237,1
1997,11,1997-11-01,858,Vietnã,24192,19871,404057,13746,1074,418877,16.702092,0.821387,20.334004,3
1997,12,1997-12-01,063,Argentina,107393,96990,2687391,20820,15669,2723880,25.023894,0.903131,27.707918,2
1997,12,1997-12-01,160,China,46263,39425,628086,32427,2403,662916,13.576422,0.852193,15.93116,9
1997,12,1997-12-01,161,Taiwan (Formosa),3231,2793,33073,3098,0,36171,10.23615,0.864438,11.841389,4
1997,12,1997-12-01,169,Colômbia,2405,2044,40646,1668,0,42314,16.900624,0.849896,19.885519,1
1997,12,1997-12-01,190,Coreia do Sul,1242,1118,12225,1505,0,13730,9.842995,0.900161,10.934705,1
1997,12,1997-12-01,245,Espanha,1370,901,13227,5807,49,19083,9.654745,0.657664,14.680355,2
1997,12,1997-12-01,249,Estados Unidos,1700,1405,10200,2397,0,12597,6.0,0.826471,7.259786,1
1997,12,1997-12-01,267,Filipinas,2328,2124,45498,2410,0,47908,19.543814,0.912371,21.420904,2
1997,12,1997-12-01,351,Hong Kong,1003,1717,14189,1014,0,15203,14.14656,1.711864,8.263832,3
1997,12,1997-12-01,365,Indonésia,10628,8637,226096,8609,791,235496,21.273617,0.812665,26.177608,4
1997,12,1997-12-01,386,Itália,282,320,3686,165,10,3861,13.070922,1.134752,11.51875,5
1997,12,1997-12-01,858,Vietnã,5146,4757,81809,6999,0,88808,15.89759,0.924407,17.197604,4
1998,1,1998-01-01,063,Argentina,41157,37143,1007168,8190,5875,1021233,24.471366,0.902471,27.115957,1
1998,1,1998-01-01,160,China,55780,47258,667552,35256,2374,705182,11.967587,0.847221,14.125693,9
1998,1,1998-01-01,161,Taiwan (Formosa),7461,8612,78568,3780,167,82515,10.530492,1.154269,9.123084,6
1998,1,1998-01-01,190,Coreia do Sul,3924,3139,123651,3905,801,128357,31.511468,0.799949,39.391845,1
1998,1,1998-01-01,245,Espanha,396,344,4045,2028,15,6088,10.214646,0.868687,11.758721,1
1998,1,1998-01-01,249,Estados Unidos,22,12,263,0,0,263,11.954545,0.545455,21.916667,1
1998,1,1998-01-01,267,Filipinas,480,413,10320,771,0,11091,21.5,0.860417,24.987893,1
1998,1,1998-01-01,365,Indonésia,3583,2914,60004,5055,81,65140,16.74686,0.813285,20.591627,5
1998,1,1998-01-01,386,Itália,1188,998,13104,129,0,13233,11.030303,0.840067,13.130261,1
1998,1,1998-01-01,628,Reino Unido,78,15,784,108,4,896,10.051282,0.192308,52.266667,1
1998,1,1998-01-01,776,Tailândia,3480,3089,58373,3177,141,61691,16.773851,0.887644,18.897054,2
1998,1,1998-01-01,858,Vietnã,23448,19658,436875,15170,2096,454141,18.631653,0.838366,22.223777,5
1998,2,1998-02-01,063,Argentina,47139,42545,1193836,8190,6955,1208981,25.325866,0.902544,28.060548,1
1998,2,1998-02-01,158,Chile,517,460,3617,50,0,3667,6.996132,0.889749,7.863043,1
1998,2,1998-02-01,160,China,60523,51169,790877,35577,3765,830219,13.067379,0.845447,15.456175,7
1998,2,1998-02-01,161,Taiwan (Formosa),612,514,5934,135,0,6069,9.696078,0.839869,11.544747,2
1998,2,1998-02-01,190,Coreia do Sul,480,432,5323,1968,0,7291,11.089583,0.9,12.321759,1
1998,2,1998-02-01,232,Dinamarca,2700,3124,27999,2234,0,30233,10.37,1.157037,8.962548,1
1998,2,1998-02-01,267,Filipinas,480,384,9120,502,0,9622,19.0,0.8,23.75,1
1998,2,1998-02-01,275,França,80,40,1910,876,0,2786,23.875,0.5,47.75,1
1998,2,1998-02-01,365,Indonésia,29792,24243,465848,14566,2095,482509,15.636681,0.813742,19.215774,4
1998,2,1998-02-01,386,Itália,1118,845,11461,1603,0,13064,10.251342,0.755814,13.563314,4
1998,2,1998-02-01,399,Japão,120,59,720,490,4,1214,6.0,0.491667,12.20339,1
1998,2,1998-02-01,580,Panamá,708,660,11754,364,0,12118,16.601695,0.932203,17.809091,1
1998,2,1998-02-01,776,Tailândia,15870,12439,293180,12765,1393,307338,18.47385,0.783806,23.569419,3
1998,2,1998-02-01,858,Vietnã,4248,3549,49847,1223,0,51070,11.734228,0.835452,14.045365,2
1998,3,1998-03-01,063,Argentina,160881,145194,3849153,26910,22427,3898490,23.925467,0.902493,26.510414,1
1998,3,1998-03-01,160,China,60665,56727,660457,32573,2261,695291,10.886953,0.935086,11.642727,7
1998,3,1998-03-01,161,Taiwan (Formosa),870,949,10311,185,3,10499,11.851724,1.090805,10.865121,3
1998,3,1998-03-01,190,Coreia do Sul,205,75,3427,629,33,4089,16.717073,0.365854,45.693333,2
1998,3,1998-03-01,245,Espanha,9799,6821,125334,10159,1182,136675,12.790489,0.696091,18.374725,2
1998,3,1998-03-01,249,Estados Unidos,3495,2951,24174,3291,49,27514,6.916738,0.844349,8.191799,4
1998,3,1998-03-01,275,França,116,90,738,167,4,909,6.362069,0.775862,8.2,1
1998,3,1998-03-01,365,Indonésia,48292,42440,796843,27999,4022,828864,16.500518,0.878821,18.775754,8
1998,3,1998-03-01,386,Itália,144,121,1824,13,0,1837,12.666667,0.840278,15.07438,2
1998,3,1998-03-01,399,Japão,120,62,720,59,4,783,6.0,0.516667,11.612903,1
1998,3,1998-03-01,455,Malásia,1056,844,6432,149,126,6707,6.090909,0.799242,7.620853,1
1998,3,1998-03-01,741,Singapura,5844,4290,41785,2531,0,44316,7.150068,0.734086,9.740093,1
1998,3,1998-03-01,776,Tailândia,2296,1969,40778,1876,57,42711,17.760453,0.857578,20.710005,3
1998,3,1998-03-01,858,Vietnã,43740,39622,821870,26315,4754,852939,18.789895,0.905853,20.742769,5
1998,4,1998-04-01,063,Argentina,61590,55585,1516814,10530,8837,1536181,24.627602,0.9025,27.288189,1
1998,4,1998-04-01,160,China,74242,59581,909411,45681,3585,958677,12.249279,0.802524,15.26344,9
1998,4,1998-04-01,161,Taiwan (Formosa),252,333,2164,39,0,2203,8.587302,1.321429,6.498498,2
1998,4,1998-04-01,190,Coreia do Sul,7788,6454,249648,7475,1793,258916,32.05547,0.828711,38.681128,2
1998,4,1998-04-01,245,Espanha,8030,5866,105658,3764,1126,110548,13.157908,0.730511,18.011933,2
1998,4,1998-04-01,249,Estados Unidos,70,44,1105,140,6,1251,15.785714,0.628571,25.113636,1
1998,4,1998-04-01,365,Indonésia,25449,23400,343152,20316,1076,364544,13.483909,0.919486,14.664615,5
1998,4,1998-04-01,386,Itália,1818,1564,31317,1390,200,32907,17.226073,0.860286,20.023657,4
1998,4,1998-04-01,399,Japão,3125,1900,31042,4451,0,35493,9.93344,0.608,16.337895,2
1998,4,1998-04-01,776,Tailândia,29150,26235,390246,13394,1171,404811,13.387513,0.9,14.875014,1
1998,4,1998-04-01,858,Vietnã,16260,17043,194639,4817,105,199561,11.970418,1.048155,11.420466,4
1998,5,1998-05-01,063,Argentina,134315,118944,3010904,23422,17541,3051867,22.416737,0.88556,25.313627,2
1998,5,1998-05-01,160,China,100528,81392,1445457,66710,8750,1520917,14.378651,0.809645,17.759202,7
1998,5,1998-05-01,161,Taiwan (Formosa),3819,2584,57791,3097,18,60906,15.132495,0.676617,22.364938,4
1998,5,1998-05-01,190,Coreia do Sul,182,46,3129,714,35,3878,17.192308,0.252747,68.021739,1
1998,5,1998-05-01,245,Espanha,4166,3033,55719,2357,539,58615,13.3747,0.728036,18.37092,2
1998,5,1998-05-01,249,Estados Unidos,4879,4417,53536,4896,37,58469,10.97274,0.905308,12.120444,7
1998,5,1998-05-01,267,Filipinas,480,540,9120,636,0,9756,19.0,1.125,16.888889,1
1998,5,1998-05-01,351,Hong Kong,198,539,8059,308,7,8374,40.70202,2.722222,14.951763,2
1998,5,1998-05-01,365,Indonésia,43278,37432,759709,30023,4501,794233,17.554161,0.86492,20.29571,7
1998,5,1998-05-01,386,Itália,96,80,1069,8,0,1077,11.135417,0.833333,13.3625,2
1998,5,1998-05-01,399,Japão,153,122,8714,1222,44,9980,56.954248,0.797386,71.42623,1
1998,5,1998-05-01,741,Singapura,125,150,750,58,0,808,6.0,1.2,5.0,1
1998,5,1998-05-01,776,Tailândia,26998,23762,364997,15834,996,381827,13.519409,0.880139,15.360534,3
1998,5,1998-05-01,858,Vietnã,43944,38796,817810,32128,4887,854825,18.610277,0.882851,21.07975,5
1998,6,1998-06-01,063,Argentina,114502,103503,2632839,18720,15342,2666901,22.993825,0.903941,25.437321,1
1998,6,1998-06-01,160,China,29797,25757,556197,24737,3196,584130,18.666208,0.864416,21.594013,8
1998,6,1998-06-01,161,Taiwan (Formosa),4272,3483,85298,7231,532,93061,19.96676,0.815309,24.489808,5
