brand,franchise_label_auto,n_skus_franchise,n_gps_franchise,gens_detected,first_seen,last_seen,example_names,KEEP_MERGE_SPLIT,new_franchise_label,merge_with_franchise,note
Nike,Zoomx Invincible Run Fk,51,2,3,2025-07-28,2026-05-14,Tênis Nike Zoomx Invincible Run FK 3- Masculino | Tênis Nike Zoomx Invincible Run FK 3 - Feminino,,,,
Nike,Futsal Phantom Ii Academy,50,2,,2025-09-25,2026-05-21,Chuteira Futsal Nike Phantom II Academy Adulto | Chuteira Futsal Adulto Nike Phantom II Academy,,,,
Nike,Grandstand Ii,50,2,,2025-07-28,2026-05-21,Tênis Nike Grandstand Ii - Masculino | Tênis Nike Grandstand II Masculino,,,,
Nike,Al8,49,4,,2025-07-28,2026-05-21,Tênis Feminino Nike AL8 | Tênis Nike Al8 - Feminino | Tênis Nike AL8 Feminino | Tênis Nike AL8 - Feminino,,,,
Nike,Court Borough Low,49,6,2,2025-09-25,2026-05-21,Tênis Infantil Nike Court Borough Low | Tênis Nike Court Borough Low Infantil | Tênis Nike Court Borough Low 2 GS - Infantil | Tênis Nike Court Borough Low 2 PS - Infantil,,,,
Nike,Full Force Low,48,3,,2025-07-28,2026-05-21,Tênis Nike Full Force Low - Infantil | Tênis Nike Full Force Low - Masculino | Tênis Masculino Nike Full Force Low,,,,
Nike,Phantom Gx Ii Academy Erling Haaland Force9,48,9,,2025-07-28,2026-05-21,Chuteira Society Nike Phantom GX II Academy Erling Haaland Force9 Adulto | Chuteira Society Nike Phantom GX II Academy Erling Haaland Force9 - Adulto | Chuteira de Campo Nike Phantom GX II Academy Erling Haaland Force9 - Adulto | Chuteira de Campo Nike Phantom GX II Academy Erling Haaland Force9 Adulto,,,,
Nike,Air Zoom Mercurial Vapor,47,3,16,2025-07-28,2026-05-21,Chuteira de Campo Masculina Nike Air Zoom Mercurial Vapor 16 Elite | Chuteira de Campo Nike Air Zoom Mercurial Vapor 16 Elite - Adulto | Chuteira de Campo Unissex Nike Air Zoom Mercurial Vapor 16 Elite,,,,
Nike,Zoom Gp Challenge Pro Premium,47,4,,2025-07-28,2026-04-30,Tênis Feminino Nike Zoom GP Challenge Pro Premium | Tênis Masculino Nike Zoom GP Challenge Pro Premium | Tênis Nike Zoom GP Challenge Pro Premium - Feminino | Tênis Nike Zoom Gp Challenge Pro Premium - Masculino,,,,
Nike,Futsal Vapor,44,3,"15,16",2025-07-28,2026-05-21,Chuteira Futsal Nike Vapor 16 Club - Adulto | Chuteira Futsal Nike Vapor 15 Club - Infantil | Chuteira Futsal Infantil Nike Vapor 15 Club,,,,
Nike,G.t. Cut,44,3,3,2025-07-28,2026-05-21,Tênis Nike G.T. Cut 3 Masculino | Tênis Nike G.T. Cut 3 - Masculino | Tênis Nike G.T. Cut 3 Oly Masculino,,,,
Nike,Air Max Invigor,43,3,,2026-02-05,2026-05-21,Tênis Feminino Nike Air Max Invigor | Tênis Masculino Nike Air Max Invigor | Tênis Nike Air Max Invigor Masculino,,,,
Nike,Court Vision Alta Ltr,43,1,,2025-08-28,2026-05-21,Tênis Nike Court Vision Alta LTR - Feminino,,,,
Nike,Futsal Mercurial Zoom Vapor,43,6,"15,16",2025-07-28,2026-05-21,Chuteira Futsal Nike Mercurial Zoom Vapor 15 Club Ic - Adulto | Chuteira Futsal Adulto Nike Mercurial Zoom Vapor 15 Club | Chuteira Futsal Nike Mercurial Zoom Vapor 15 Club IC - Júnior | Chuteira Futsal Infantil Nike Mercurial Zoom Vapor 15 Club,,,,
Nike,Infinity Flow,43,2,,2025-07-28,2026-05-21,Tênis Nike Infinity Flow - Infantil | Tênis Infantil Nike Infinity Flow,,,,
Nike,Pegasus Trail,43,5,5,2025-07-28,2026-05-21,Tênis Masculino Nike Pegasus Trail 5 | Tênis Feminino Nike Pegasus Trail 5 | Tênis Nike Pegasus Trail 5 - Feminino | Tênis Feminino Nike Pegasus Trail,,,,
Nike,E Series Ad,42,4,,2025-07-28,2026-05-21,Tênis Nike E-Series Ad - Masculino | Tênis Nike E-Series AD - Feminino | Tênis Nike E-Series Ad - Feminino | Tênis Nike E-Series AD - Masculino,,,,
Nike,Charge Suede,41,2,,2026-01-01,2026-05-14,Tênis Masculino Nike Charge Suede | Tênis Feminino Nike Charge Suede,,,,
Nike,Court Legacy Next Nature,41,2,,2025-07-28,2026-05-21,Tênis Nike Court Legacy Next Nature - Feminino | Tênis Feminino Nike Court Legacy Next Nature,,,,
Nike,Tiempo Maestro Academy,41,3,,2026-03-05,2026-05-21,Chuteira Society Adulto Nike Tiempo Maestro Academy | Chuteira de Campo Adulto Tiempo Maestro Academy | CHUTEIRA SOCIETY TIEMPO MAESTRO ACADEMY,,,,
Nike,Cosmic Runner Swoosh,40,1,,2026-04-09,2026-05-21,Tênis Infantil Nike Cosmic Runner Swoosh,,,,
